model,Accuracy,Accuracy_lo95,Accuracy_hi95,Precision,Precision_lo95,Precision_hi95,Sensitivity,Sensitivity_lo95,Sensitivity_hi95,F1,F1_lo95,F1_hi95,Specificity,Specificity_lo95,Specificity_hi95,AUROC,AUROC_lo95,AUROC_hi95,PR_AUC,PR_AUC_lo95,PR_AUC_hi95,ECE,ECE_lo95,ECE_hi95
Count-ratio (BME106-style),0.5397,0.4524,0.627,0.9038,0.8163,0.9796,0.47,0.3737,0.5673,0.6184,0.5217,0.703,0.8077,0.6364,0.9524,0.6942,0.601,0.7802,0.898,0.8501,0.9384,0.5647,0.4854,0.6381
Confidence-weighted fraction,0.6429,0.5556,0.7222,0.8986,0.8209,0.9672,0.62,0.5263,0.7143,0.7337,0.6548,0.8046,0.7308,0.55,0.8966,0.6565,0.5535,0.7635,0.8918,0.8317,0.9448,0.3844,0.3127,0.4537
CARE-Lung (regularized distribution aggregator),0.7302,0.6508,0.8095,0.9231,0.8571,0.975,0.72,0.6275,0.8077,0.809,0.7411,0.8696,0.7692,0.6,0.9201,0.8319,0.7581,0.8969,0.9584,0.9323,0.979,0.1645,0.115,0.2328
Gradient-boosted distribution aggregator,0.6984,0.619,0.7778,0.9079,0.8378,0.9688,0.69,0.596,0.7812,0.7841,0.7125,0.8495,0.7308,0.5517,0.8929,0.7785,0.67,0.8737,0.9251,0.8698,0.9695,0.1693,0.1201,0.2453
SVM + spectral summaries,0.6905,0.6111,0.7698,0.9296,0.8667,0.9853,0.66,0.5625,0.7524,0.7719,0.6951,0.8377,0.8077,0.64,0.9524,0.7985,0.7175,0.8741,0.9474,0.9156,0.9729,0.0752,0.059,0.157
CARE-Lung++ (calibrated ensemble),0.7222,0.6429,0.8016,0.9577,0.9041,1.0,0.68,0.5841,0.77,0.7953,0.7229,0.8586,0.8846,0.7429,1.0,0.8208,0.7462,0.8889,0.9551,0.9266,0.9771,0.1607,0.1127,0.2313
S1: mean probability,0.6508,0.5635,0.7381,0.9,0.8228,0.9683,0.63,0.5377,0.7228,0.7412,0.6625,0.8118,0.7308,0.5454,0.8948,0.7273,0.6199,0.8261,0.9141,0.8601,0.9597,0.1736,0.1229,0.2409
S2: mean + SD,0.5873,0.5,0.6746,0.8871,0.8,0.9636,0.55,0.4495,0.6471,0.679,0.5912,0.7561,0.7308,0.5455,0.9,0.7477,0.6385,0.8483,0.9157,0.8575,0.9632,0.2703,0.2086,0.3404
S3: mean + SD + log cycles,0.7698,0.6905,0.8413,0.9383,0.881,0.9868,0.76,0.6699,0.84,0.8398,0.7771,0.8923,0.8077,0.6521,0.9474,0.8427,0.7685,0.9059,0.9599,0.934,0.9804,0.1831,0.1369,0.2516
S4: mean + SD + median + max,0.627,0.5397,0.7143,0.9077,0.831,0.9706,0.59,0.4947,0.6881,0.7152,0.6323,0.7901,0.7692,0.5926,0.9259,0.7685,0.6672,0.8628,0.9294,0.8839,0.967,0.2423,0.1821,0.3093
S6: quantile summary,0.7222,0.6429,0.8016,0.9333,0.8718,0.9855,0.7,0.6082,0.7895,0.8,0.7308,0.8617,0.8077,0.6521,0.9474,0.8246,0.7482,0.8912,0.9557,0.9278,0.9774,0.16,0.1182,0.231
S14: full descriptor (CARE-Lung),0.7302,0.6508,0.8095,0.9231,0.8571,0.975,0.72,0.6275,0.8077,0.809,0.7411,0.8696,0.7692,0.6,0.9201,0.8319,0.7581,0.8969,0.9584,0.9323,0.979,0.1645,0.115,0.2328
